PNODE_ID,AS_ID,RES_TYPE,RES_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Lat,Long,Unnamed: 10,LINK
SANYSDRO_6_N013,AS_SP26,GEN,SYDRO_6_FCELL,22740_SANYSDRO_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,4836,32.545077,-117.069661,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=SANYSDRO_6_N013
SANYSDRO_6_N004,AS_SP15,LOAD,SYDRO_6_LD32,22740_SANYSDRO_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4838,32.562128,-117.026591,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=SANYSDRO_6_N004
SANYSDRO_6_N001,AS_SP26,LOAD,SYDRO_6_LD31,22740_SANYSDRO_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4837,32.562157,-117.026397,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=SANYSDRO_6_N001
CPBORDER_7_B1,AS_SP15,GEN,BORDER_6_UNITA1,22149_CPBORDER_13.8_GU1,22M7_DB114,2022-07-28 0:00:00,371,32.566132,-116.944759,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=CPBORDER_7_B1
BORDER_6_N001,AS_SP26,LOAD,BORDER_6_LD32,22076_BORDER _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,369,32.566114,-116.944024,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=BORDER_6_N001
BORDER_6_N008,AS_SP26,LOAD,BORDER_6_LD31,22076_BORDER _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,368,32.566568,-116.944387,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=BORDER_6_N008
BDLRKSP2_7_B1,AS_SP26,GEN,LARKSP_6_UNIT 2,22075_BDLRKSP2_13.8_GU2,22M7_DB114,2022-07-28 0:00:00,2043,32.56745,-116.942317,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=BDLRKSP2_7_B1
BDLRKSP1_7_B1,AS_SP26,GEN,LARKSP_6_UNIT 1,22074_BDLRKSP1_13.8_GU1,22M7_DB114,2022-07-28 0:00:00,2042,32.567447,-116.942233,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=BDLRKSP1_7_B1
IMPRLBCH_6_N004,AS_SP15,LOAD,IMPBCH_6_LD30,22352_IMPRLBCH_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,1786,32.583522,-117.097331,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=IMPRLBCH_6_N004
IMPRLBCH_6_N001,AS_SP15,LOAD,IMPBCH_6_LD32,22352_IMPRLBCH_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,1787,32.583554,-117.097158,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=IMPRLBCH_6_N001
