AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Lat,Long,
AS_SP26,GEN,SYDRO_6_FCELL,SANYSDRO_6_N013,22740_SANYSDRO_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,4836,32.545077,-117.069661,
AS_SP15,GEN,SYDRO_6_FCELL,SANYSDRO_6_N013,22740_SANYSDRO_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,4836,32.545077,-117.069661,
AS_SP15,LOAD,SYDRO_6_LD32,SANYSDRO_6_N004,22740_SANYSDRO_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4838,32.562128,-117.026591,
AS_SP26,LOAD,SYDRO_6_LD32,SANYSDRO_6_N004,22740_SANYSDRO_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4838,32.562128,-117.026591,
AS_SP26,LOAD,SYDRO_6_LD31,SANYSDRO_6_N001,22740_SANYSDRO_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4837,32.562157,-117.026397,
AS_SP15,LOAD,SYDRO_6_LD31,SANYSDRO_6_N001,22740_SANYSDRO_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4837,32.562157,-117.026397,
AS_SP15,GEN,BORDER_6_UNITA1,CPBORDER_7_B1,22149_CPBORDER_13.8_GU1,22M7_DB114,2022-07-28 0:00:00,371,32.566132,-116.944759,
AS_SP26,GEN,BORDER_6_UNITA1,CPBORDER_7_B1,22149_CPBORDER_13.8_GU1,22M7_DB114,2022-07-28 0:00:00,371,32.566132,-116.944759,
AS_SP26,LOAD,BORDER_6_LD32,BORDER_6_N001,22076_BORDER _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,369,32.566114,-116.944024,
AS_SP15,LOAD,BORDER_6_LD32,BORDER_6_N001,22076_BORDER _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,369,32.566114,-116.944024,
AS_SP26,LOAD,BORDER_6_LD31,BORDER_6_N008,22076_BORDER _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,368,32.566568,-116.944387,
AS_SP15,LOAD,BORDER_6_LD31,BORDER_6_N008,22076_BORDER _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,368,32.566568,-116.944387,
AS_SP26,GEN,LARKSP_6_UNIT 2,BDLRKSP2_7_B1,22075_BDLRKSP2_13.8_GU2,22M7_DB114,2022-07-28 0:00:00,2043,32.56745,-116.942317,
AS_SP15,GEN,LARKSP_6_UNIT 2,BDLRKSP2_7_B1,22075_BDLRKSP2_13.8_GU2,22M7_DB114,2022-07-28 0:00:00,2043,32.56745,-116.942317,
AS_SP26,GEN,LARKSP_6_UNIT 1,BDLRKSP1_7_B1,22074_BDLRKSP1_13.8_GU1,22M7_DB114,2022-07-28 0:00:00,2042,32.567447,-116.942233,
