X,Y,OBJECTID_1,CECPlantID,PlantName,EIAPlantID,RPS_Eligible,SmallPlant,Peaker,Small_Hydro,SolarThermal,Pumped_Storage,Pumping_Generating,SelfGeneration,SelfGenerationNAICSID,CoGeneration,CoGenerationNAICSID,NoReport,Retired_Plant,CEC_Jurisdictional,OwnerID,UtilityID,OperatorCompanyID,PreparerCompanyID,Street,City,County,State,Zip,Capacity_Latest,Units,PriEnergySource,LastReportedYear,Lon_WGS84,Lat_WGS84,Annual_Hyperlink,Monthly_Hyperlink
-13385984.0285,4454252.5192,1873,G0896,Chowchilla II Peaker,56185,0,0,1,0,0,0,0,0,0,0,0,0,0,0,California Power Holdings LLC,Pacific Gas & Electric (PG&E),California Power Holdings LLC,California Power Holdings LLC,16457 Avenue 24-1/2,Chowchilla,Madera,CA,93610,0,,,2021,-120.24834046,37.1085818222516,https://repository.energy.ca.gov/powerplantsgeneration/G0896_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0896_monthly.png
-13611469.5253,4919579.8623,1874,S9312,Pristine Sun Fund 5 LLC_(2021_Doran),MISSING,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Not Available,Pacific Gas & Electric (PG&E),Not Available,Not Available,,Unincorporated,Tehama,CA,,1.5,Unit 1,SUN,2021,-122.27391114,40.3681083612063,https://repository.energy.ca.gov/powerplantsgeneration/S9312_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data
-13604629.9861,4887791.0932,1875,G0897,Red Bluff,56184,0,0,1,0,0,0,0,0,0,0,0,0,0,0,California Power Holdings LLC,Pacific Gas & Electric (PG&E),GE,California Power Holdings LLC,970 Diamond Avenue,Red Bluff,Tehama,CA,96080,0,,,2021,-122.21247051,40.1501869045386,https://repository.energy.ca.gov/powerplantsgeneration/G0897_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0897_monthly.png
-13600248.8707,4858595.8041,1876,S9313,Pristine Sun Fund 5 LLC_(2040_Alvares),MISSING,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Not Available,Pacific Gas & Electric (PG&E),Not Available,Not Available,,Unincorporated,Tehama,CA,,1.5,Unit 1,SUN,2021,-122.17311428,39.94942655845,https://repository.energy.ca.gov/powerplantsgeneration/S9313_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data
-13185120.5159,4072713.9126,1877,G0899,Olive View Medical Center,10884,0,1,0,0,0,0,0,1,622110,1,622110,0,0,0,LA County ISD (Health Services),Los Angeles Department of Water & Power (LADWP),LA County ISD (Health Services),LA County ISD (Health Services),14445 Olive View Drive,Sylmar,Los Angeles,CA,91342,5.78,"GTU #1, GTU #2",NG,2021,-118.44395282,34.3263976462368,https://repository.energy.ca.gov/powerplantsgeneration/G0899_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data
-13609636.6221,4891804.5204,1878,S9314,Pristine Sun Fund 5 LLC_(2119_Lvvorn),MISSING,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Not Available,Pacific Gas & Electric (PG&E),Not Available,Not Available,,Unincorporated,Tehama,CA,,1,Unit 1,SUN,2021,-122.25744589,40.1777388488802,https://repository.energy.ca.gov/powerplantsgeneration/S9314_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data
-13458068.7879,4507238.2355,1879,G0900,Walnut Energy Center,56078,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Turlock Irrigation District,Turlock Irrigation District,Turlock Irrigation District,Turlock Irrigation District,600 S. Washington Road,Turlock,Stanislaus,CA,95380,250,"Unit 1, Unit 2, Unit 3",NG,2021,-120.89588887,37.4872194053682,https://repository.energy.ca.gov/powerplantsgeneration/G0900_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0900_monthly.png
-13600258.8818,4858294.9785,1880,S9315,Pristine Sun Fund 5 LLC_(2039_Flournoy),MISSING,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Not Available,Pacific Gas & Electric (PG&E),Not Available,Not Available,,Unincorporated,Tehama,CA,,1,Unit 1,SUN,2021,-122.17320422,39.9473548649871,https://repository.energy.ca.gov/powerplantsgeneration/S9315_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data
-13596391.075,4589588.1655,1881,G0902,Valero Cogeneration Unit #1,55851,0,0,0,0,0,0,0,1,324110,1,324110,0,0,1,Valero Refining Company - California,Pacific Gas & Electric (PG&E),Valero Refining Company - California,Valero Refining Company - California,3400 East Second Street,Benicia,Solano,CA,94510,47.7,GTG 4901,NG,2021,-122.13845912,38.0719021851012,https://repository.energy.ca.gov/powerplantsgeneration/G0902_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0902_monthly.png
-13617876.086,4892522.8193,1882,S9316,Pristine Sun Fund 5 LLC_(2158_Stroing),MISSING,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Not Available,Pacific Gas & Electric (PG&E),Not Available,Not Available,,Unincorporated,Tehama,CA,,0.75,Unit 1,SUN,2021,-122.33146225,40.1826687492861,https://repository.energy.ca.gov/powerplantsgeneration/S9316_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data
