,AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Lat,Long,Unnamed: 10,TAC_AREA_ID,DESCRIPTION,COMMENTS,EFF_START_DT,EFF_END_DT,EFF_START_DT_GMT,EFF_END_DT_GMT
0,AS_SP26,GEN,SYDRO_6_FCELL,SANYSDRO_6_N013,22740_SANYSDRO_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,4836,32.545077,-117.069661,,TAC_SOUTH,TAC_SOUTH,,2017-11-01T00:00:00,2030-12-31T23:59:59,2017-11-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
1,AS_SP15,GEN,SYDRO_6_FCELL,SANYSDRO_6_N013,22740_SANYSDRO_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,4836,32.545077,-117.069661,,TAC_SOUTH,TAC_SOUTH,,2017-11-01T00:00:00,2030-12-31T23:59:59,2017-11-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
6,AS_SP15,GEN,BORDER_6_UNITA1,CPBORDER_7_B1,22149_CPBORDER_13.8_GU1,22M7_DB114,2022-07-28 0:00:00,371,32.566132,-116.944759,,TAC_SOUTH,TAC_SOUTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
7,AS_SP26,GEN,BORDER_6_UNITA1,CPBORDER_7_B1,22149_CPBORDER_13.8_GU1,22M7_DB114,2022-07-28 0:00:00,371,32.566132,-116.944759,,TAC_SOUTH,TAC_SOUTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
12,AS_SP26,GEN,LARKSP_6_UNIT 2,BDLRKSP2_7_B1,22075_BDLRKSP2_13.8_GU2,22M7_DB114,2022-07-28 0:00:00,2043,32.56745,-116.942317,,TAC_SOUTH,TAC_SOUTH,,2022-07-20T00:00:00,2030-12-31T23:59:59,2022-07-20T07:00:00-00:00,2031-01-01T07:59:59-00:00
13,AS_SP15,GEN,LARKSP_6_UNIT 2,BDLRKSP2_7_B1,22075_BDLRKSP2_13.8_GU2,22M7_DB114,2022-07-28 0:00:00,2043,32.56745,-116.942317,,TAC_SOUTH,TAC_SOUTH,,2022-07-20T00:00:00,2030-12-31T23:59:59,2022-07-20T07:00:00-00:00,2031-01-01T07:59:59-00:00
14,AS_SP26,GEN,LARKSP_6_UNIT 1,BDLRKSP1_7_B1,22074_BDLRKSP1_13.8_GU1,22M7_DB114,2022-07-28 0:00:00,2042,32.567447,-116.942233,,TAC_SOUTH,TAC_SOUTH,,2022-07-20T00:00:00,2030-12-31T23:59:59,2022-07-20T07:00:00-00:00,2031-01-01T07:59:59-00:00
15,AS_SP15,GEN,LARKSP_6_UNIT 1,BDLRKSP1_7_B1,22074_BDLRKSP1_13.8_GU1,22M7_DB114,2022-07-28 0:00:00,2042,32.567447,-116.942233,,TAC_SOUTH,TAC_SOUTH,,2022-07-20T00:00:00,2030-12-31T23:59:59,2022-07-20T07:00:00-00:00,2031-01-01T07:59:59-00:00
24,AS_SP15,GEN,OTAY_6_PL1X2,RAMCOOY_7_B1,22617_RAMCO_OY_13.8_GUA1,22M7_DB114,2022-07-28 0:00:00,2804,32.595394,-117.057922,,TAC_SOUTH,TAC_SOUTH,,2022-02-18T00:00:00,2030-12-31T23:59:59,2022-02-18T08:00:00-00:00,2031-01-01T07:59:59-00:00
25,AS_SP26,GEN,OTAY_6_PL1X2,RAMCOOY_7_B1,22617_RAMCO_OY_13.8_GUA1,22M7_DB114,2022-07-28 0:00:00,2804,32.595394,-117.057922,,TAC_SOUTH,TAC_SOUTH,,2022-02-18T00:00:00,2030-12-31T23:59:59,2022-02-18T08:00:00-00:00,2031-01-01T07:59:59-00:00
56,AS_SP15,GEN,DIVSON_6_NSQF,NSCOGEN_7_B1,22552_NSCOGEN _12.5_GU1,22M7_DB114,2022-07-28 0:00:00,1013,32.681524,-117.120218,,TAC_SOUTH,TAC_SOUTH,,2019-01-01T00:00:00,2030-12-31T23:59:59,2019-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
57,AS_SP26,GEN,DIVSON_6_NSQF,NSCOGEN_7_B1,22552_NSCOGEN _12.5_GU1,22M7_DB114,2022-07-28 0:00:00,1013,32.681524,-117.120218,,TAC_SOUTH,TAC_SOUTH,,2019-01-01T00:00:00,2030-12-31T23:59:59,2019-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
60,AS_SP15,GEN,SAMPSN_6_KELCO1,SAMPSON_6_N010,22704_SAMPSON _12.5_GUKC,22M7_DB114,2022-07-28 0:00:00,3873,32.694468,-117.142444,,TAC_SOUTH,TAC_SOUTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
61,AS_SP26,GEN,SAMPSN_6_KELCO1,SAMPSON_6_N010,22704_SAMPSON _12.5_GUKC,22M7_DB114,2022-07-28 0:00:00,3873,32.694468,-117.142444,,TAC_SOUTH,TAC_SOUTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
72,AS_SP15,GEN,NIMTG_6_NICOGN,NOISLMTR_6_N015,22576_NOISLMTR_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,2620,32.702352,-117.182378,,TAC_SOUTH,TAC_SOUTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
73,AS_SP26,GEN,NIMTG_6_NICOGN,NOISLMTR_6_N015,22576_NOISLMTR_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,2620,32.702352,-117.182378,,TAC_SOUTH,TAC_SOUTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
74,AS_SP15,GEN,NIMTG_6_NIQF,NOISLMTR_6_N101,22576_NOISLMTR_69.0_GUQF,22M7_DB114,2022-07-28 0:00:00,2621,32.702489,-117.182422,,TAC_SOUTH,TAC_SOUTH,,2019-01-01T00:00:00,2030-12-31T23:59:59,2019-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
75,AS_SP26,GEN,NIMTG_6_NIQF,NOISLMTR_6_N101,22576_NOISLMTR_69.0_GUQF,22M7_DB114,2022-07-28 0:00:00,2621,32.702489,-117.182422,,TAC_SOUTH,TAC_SOUTH,,2019-01-01T00:00:00,2030-12-31T23:59:59,2019-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
94,AS_SP15,GEN,CBRLLO_6_PLSTP1,CABRILLO_6_N011,22092_CABRILLO_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,576,32.707502,-117.245154,,TAC_SOUTH,TAC_SOUTH,,2018-01-02T00:00:00,2030-12-31T23:59:59,2018-01-02T08:00:00-00:00,2031-01-01T07:59:59-00:00
95,AS_SP26,GEN,CBRLLO_6_PLSTP1,CABRILLO_6_N011,22092_CABRILLO_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,576,32.707502,-117.245154,,TAC_SOUTH,TAC_SOUTH,,2018-01-02T00:00:00,2030-12-31T23:59:59,2018-01-02T08:00:00-00:00,2031-01-01T07:59:59-00:00
98,AS_SP15,GEN,PTLOMA_6_NTCCGN,POINTLMA_6_N021,22660_POINTLMA_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,3686,32.741591,-117.233583,,TAC_SOUTH,TAC_SOUTH,,2019-02-09T00:00:00,2030-12-31T23:59:59,2019-02-09T08:00:00-00:00,2031-01-01T07:59:59-00:00
99,AS_SP26,GEN,PTLOMA_6_NTCCGN,POINTLMA_6_N021,22660_POINTLMA_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,3686,32.741591,-117.233583,,TAC_SOUTH,TAC_SOUTH,,2019-02-09T00:00:00,2030-12-31T23:59:59,2019-02-09T08:00:00-00:00,2031-01-01T07:59:59-00:00
100,AS_SP15,GEN,PTLOMA_6_NTCQF,POINTLMA_6_N001,22660_POINTLMA_69.0_GUQF,22M7_DB114,2022-07-28 0:00:00,3687,32.741645,-117.233322,,TAC_SOUTH,TAC_SOUTH,,2022-06-18T00:00:00,2030-12-31T23:59:59,2022-06-18T07:00:00-00:00,2031-01-01T07:59:59-00:00
