PNODE_ID,ALPINE_6_N001,ALPINE_6_N005,ARTESN_6_N001,ASH_6_N001,ASH_6_N005,ASH_6_N101,AVOCADO_6_N001,AVOCADO_6_N002,BARRETT_6_N001,BATIQTOS_1_N001,BATIQTOS_1_N008,BATIQTOS_1_N015,BDLRKSP1_7_B1,BDLRKSP2_7_B1,BERNARDO_6_N001,BERNARDO_6_N002,BERNARDO_6_N009,BERNARDO_6_N013,BERNARDO_6_N014,BLM W_2_COSBT1GN,BORDER_6_N001,BORDER_6_N008,BORREGO_6_N009,B_6_N001,B_6_N003,B_6_N005,B_6_N007,CABRILLO_1_N001,CABRILLO_6_N001,CABRILLO_6_N004,CABRILLO_6_N011,CAMERON_6_N001,CARLTNHS_1_N001,CARLTNHS_1_N004,CARLTNHS_1_N011,CARLTNHS_1_N012,CHCARITA_1_N001,CHCARITA_1_N004,CHCARITA_1_N008,CHCARITA_1_N012,CHOLLAS_6_N001,CHOLLAS_6_N008,CHOLLAS_6_N009,CLAIRMNT_6_N001,CLAIRMNT_6_N008,CLARMNT_1_N001,CLARMNT_1_N028,CORONADO_6_N001,CORONADO_6_N002,CORONA_1_N001,CPBORDER_7_B1,CPELCAJN_7_B1,CPESCNDO_7_A1,CPESCNDO_7_B1,CREELMAN_6_N001,CREELMAN_6_N004,CREELMAN_6_N014,CRESTWD_6_N001,DELMAR_6_N010,DELMAR_6_N011,DESCANSO_6_N001,DIVISION_6_N001,DIVISION_6_N009,DUNHILL_6_N001,EASTGATE_6_N004,EASTGATE_6_N101,EASTGATE_6_N201,ELCAJNEG_7_GN001,ELCAJNGT_7_N001,ELCAJNGT_7_N004,ELLIOTT_6_N001,ELLIOTT_6_N004,ENCINA_1_N001,ENCINA_1_N049,ENCNITAS_6_N001,ENCNITAS_6_N004,ENCNITAS_6_N011,ESCNDIDO_6_N001,ESCNDIDO_6_N046,ESCNDIDO_6_N053,ESCO_6_N001,ESCO_6_N004,FELICITA_6_N001,FELICITA_6_N005,FELICITA_6_N009,FRIARS_1_N001,FRIARS_1_N009,F_6_N001,F_6_N002,F_6_N005,GARFIELD_6_N001,GENESEE_6_N001,GENESEE_6_N005,GENESEE_6_N011,GENESEE_6_N015,GLENCLIF_6_N001,GOALLINE_6_N001,GRANITE_6_N001,GRANITE_6_N007,GRANITE_6_N008,GRANITE_6_N009,GRNTHLL_1_N001,IMPRLBCH_6_N001,IMPRLBCH_6_N004,JAMACHA_6_N001,JAMACHA_6_N006,JAMACHA_6_N015,JAPMESA_6_N001,JAPMESA_6_N007,KEARNEY_7_N001,KEARNEY_7_N003,KETTNER_6_N001,KUMEYAAY_7_N001,KYOCERA_6_N001,LAJOLLA_6_N001,LAJOLLA_6_N007,LASPLGS_6_N001,LASPULGS_6_N001,LILAC_6_N001,LILAC_6_N010,LOVELAND_6_N001,MELROSE_6_N001,MELROSE_6_N004,MELROSE_6_N005,MELROSE_6_N009,MESAHGTS_6_N001,MESAHGTS_6_N007,MESAHGTS_6_N011,MESARIM_6_N001,MESARIM_6_N007,MESARIM_6_N008,MESARIM_6_N012,MIRAMAR_6_N001,MIRAMAR_6_N004,MIRAMAR_6_N017,MIRAMREF_7_B1,MISSION_6_N001,MISSION_6_N031,MISSION_6_N040,MISSION_6_N049,MISSON_1_N015,MONSRATE_6_N001,MONSRATE_6_N007,MONTGMRY_6_N001,MONTGMRY_6_N002,MOROHILL_6_N001,MRGT_6_NODE1,MURRAY_6_N001,MURRAY_6_N004,MURRAY_6_N005,MURRAY_6_N015,NATNLCTY_6_N001,NATNLCTY_6_N005,NAVSTMTR_6_N001,NAVSTMTR_6_N011,NCMETER_1_N001,NOISLMTR_6_N004,NOISLMTR_6_N009,NOISLMTR_6_N015,NOISLMTR_6_N101,NSCOGEN_7_B1,OCEANSDE_6_N001,OCEANSDE_6_N002,OLDTOWN_6_N001,OMWD_6_N001,OTAYLAKE_6_N001,OTAY_6_N001,OTAY_6_N014,PACFCBCH_6_N001,PACFCBCH_6_N004,PALA_6_N001,PALOMAR_1_N001,PALOMAR_1_N004,PALOMAR_1_N013,PARADISX_6_N004,PENDLETN_6_N001,PENDLETN_6_N004,PLOALTO_1_N001,PLOALTO_1_N007,PLOALTO_1_N013,PLOALTO_1_N019,POINTLMA_6_N001,POINTLMA_6_N013,POINTLMA_6_N014,POINTLMA_6_N021,POMERADO_6_N001,POMERADO_6_N004,POMERADO_6_N008,POWAY_6_N001,POWAY_6_N010,PRCTRVLY_1_N001,RAMCOOY_7_B1,RAMNGEN_7_N003,RCARMEL_6_N001,RCARMEL_6_N004,RCARMEL_6_N011,RINCON_1_N001,RINCON_1_N003,RINCON_6_N001,RINCON_6_N008,ROSECYN_6_N001,ROSECYN_6_N017,ROSE_6_N001,RSNTAFE_6_N001,RSNTAFE_6_N008,RSNTAFE_6_N009,SAMPSON_6_N010,SANLUSRY_6_N101,SANLUSRY_6_N201,SANMRCOS_6_N001,SANMRCOS_6_N007,SANMRCOS_6_N011,SANMRCOS_6_N012,SANTEE_1_N001,SANTEE_1_N003,SANTEE_1_N004,SANTYSBL_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N004,SANYSDRO_6_N013,SCRIPPS_6_N001,SCRIPPS_6_N008,SCRIPPS_6_N013,SHADOWR_1_N001,SHADOWR_1_N006,SHADOWR_1_N008,SNTAMRA_1_N001,SNTAMRA_1_N005,SONOFR2_7_B1,SONOFR3_7_B1,SONOFRE_2_N067,SPRNGVLY_6_N001,SPRNGVLY_6_N010,STREAMVW_6_N001,STREAMVW_6_N007,STUART_6_N001,SWEETWTR_6_N017,SWEETWTR_6_N018,TELECYN_1_N001,TELECYN_1_N006,TELECYN_1_N014,TOREYPNS_6_N001,TOREYPNS_6_N007,TOREYPNS_6_N008,TOREYPNS_6_N009,UCM_6_N001,UCM_6_N002,UCM_6_N006,UCM_6_N110,URBAN_6_N001,URBAN_6_N005,VALCNTR_6_N001,VLYCGEN_7_N002,VLYCGEN_7_N003,WARENCYN_6_N001,WARENCYN_6_N002,WARNERS_6_N001
ALPINE_6_N001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPINE_6_N005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTESN_6_N001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASH_6_N001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASH_6_N005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASH_6_N101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVOCADO_6_N001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVOCADO_6_N002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRETT_6_N001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATIQTOS_1_N001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATIQTOS_1_N008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
