AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP
AS_SP15,GEN,7STDRD_1_SOLAR1,0096WD_7_N001,35009_0096_WD _21.6_GUWD,22M7_DB114,2022-07-28T00:00:00,1
AS_NP26,GEN,7STDRD_1_SOLAR1,0096WD_7_N001,35009_0096_WD _21.6_GUWD,22M7_DB114,2022-07-28T00:00:00,1
AS_SP15,LOAD,7STDRD_7_LD1,0096WD_7_N002,35009_0096_WD _21.6_LD1,22M7_DB114,2022-07-28T00:00:00,2
AS_NP26,LOAD,7STDRD_7_LD1,0096WD_7_N002,35009_0096_WD _21.6_LD1,22M7_DB114,2022-07-28T00:00:00,2
AS_SP26_EXP,TIE,83MB230,MIDWYGN_7_N002,21673_MIDWY GN_34.5_GUS1,22M7_DB114,2022-07-28T00:00:00,3
AS_SP15_EXP,TIE,83MB230,MIDWYGN_7_N002,21673_MIDWY GN_34.5_GUS1,22M7_DB114,2022-07-28T00:00:00,3
AS_SP26_EXP,TIE,97MB230,SFM3GEN_7_N001,99309_SFM3-GEN_34.5_GUS1,22M7_DB114,2022-07-28T00:00:00,4
AS_SP15_EXP,TIE,97MB230,SFM3GEN_7_N001,99309_SFM3-GEN_34.5_GUS1,22M7_DB114,2022-07-28T00:00:00,4
AS_SP26,GEN,ACACIA_6_SOLAR,ACACIA_7_N001,29876_ACACIA  _34.5_GU1,22M7_DB114,2022-07-28T00:00:00,5
AS_SP15,GEN,ACACIA_6_SOLAR,ACACIA_7_N001,29876_ACACIA  _34.5_GU1,22M7_DB114,2022-07-28T00:00:00,5
AS_SP26,LOAD,ACTONS_6_LD1,ACTONSC_6_N001,24406_ACTON SC_66.0_LD1,22M7_DB114,2022-07-28T00:00:00,6
AS_SP15,LOAD,ACTONS_6_LD1,ACTONSC_6_N001,24406_ACTON SC_66.0_LD1,22M7_DB114,2022-07-28T00:00:00,6
AS_NP26,GEN,ADERA_1_SOLAR1,ADERAG1_7_N001,34117_ADERA G1_34.5_GU1,22M7_DB114,2022-07-28T00:00:00,7
AS_NP15,GEN,ADERA_1_SOLAR1,ADERAG1_7_N001,34117_ADERA G1_34.5_GU1,22M7_DB114,2022-07-28T00:00:00,7
AS_NP26,GEN,ADLIN_1_UNITS,GEOENGY_7_B3,31435_GEO.ENGY_13.8_GU1,22M7_DB114,2022-07-28T00:00:00,8
AS_NP15,GEN,ADLIN_1_UNITS,GEOENGY_7_B3,31435_GEO.ENGY_13.8_GU1,22M7_DB114,2022-07-28T00:00:00,8
AS_NP15,GEN,ADMEST_6_SOLAR,S632_7_N001,39162_S632    _12.5_GUE,22M7_DB114,2022-07-28T00:00:00,9
AS_NP26,GEN,ADMEST_6_SOLAR,S632_7_N001,39162_S632    _12.5_GUE,22M7_DB114,2022-07-28T00:00:00,9
AS_SP15,GEN,ADOBEE_1_SOLAR,S622B_7_N003,35021_S622B   _34.5_GU1,22M7_DB114,2022-07-28T00:00:00,10
AS_NP26,GEN,ADOBEE_1_SOLAR,S622B_7_N003,35021_S622B   _34.5_GU1,22M7_DB114,2022-07-28T00:00:00,10
AS_NP26,LOAD,AEC 30_1_LD1,AEC300_1_N001,33547_AEC_300 _115_LD1,22M7_DB114,2022-07-28T00:00:00,11
AS_NP15,LOAD,AEC 30_1_LD1,AEC300_1_N001,33547_AEC_300 _115_LD1,22M7_DB114,2022-07-28T00:00:00,11
AS_NP15,LOAD,AERA_1_LD1,AERAVIC2_1_N003,39071_AERAVIC2_115_LD1,22M7_DB114,2022-07-28T00:00:00,12
AS_NP26,LOAD,AERA_1_LD1,AERAVIC2_1_N003,39071_AERAVIC2_115_LD1,22M7_DB114,2022-07-28T00:00:00,12
AS_NP15,LOAD,AERENG_7_LD1,AERA12_7_N001,36204_AERA_12 _12.0_LD1,22M7_DB114,2022-07-28T00:00:00,13
AS_NP26,LOAD,AERENG_7_LD1,AERA12_7_N001,36204_AERA_12 _12.0_LD1,22M7_DB114,2022-07-28T00:00:00,13
AS_NP15,LOAD,AGLINK_6_LD1,AGRILINK_6_N001,36016_AGRILINK_60.0_LD1,22M7_DB114,2022-07-28T00:00:00,14
AS_NP26,LOAD,AGLINK_6_LD1,AGRILINK_6_N001,36016_AGRILINK_60.0_LD1,22M7_DB114,2022-07-28T00:00:00,14
AS_NP26,LOAD,AGNEWS_6_LD-T1,AGNEW_6_N001,36870_Agnew   _60.0_LD1,22M7_DB114,2022-07-28T00:00:00,15
AS_NP15,LOAD,AGNEWS_6_LD-T1,AGNEW_6_N001,36870_Agnew   _60.0_LD1,22M7_DB114,2022-07-28T00:00:00,15
AS_NP26,LOAD,AGNEWS_6_LD-T2,AGNEW_6_N002,36870_Agnew   _60.0_LD2,22M7_DB114,2022-07-28T00:00:00,16
AS_NP15,LOAD,AGNEWS_6_LD-T2,AGNEW_6_N002,36870_Agnew   _60.0_LD2,22M7_DB114,2022-07-28T00:00:00,16
AS_NP26,GEN,AGRICO_6_FEGBT1,AGRICO_7_NBT1,34608_13.8_GUF1,22M7_DB114,2022-07-28T00:00:00,17
