X,Y,OBJECTID,CECPlantID,PlantName,EIAPlantID,RPS_Eligible,SmallPlant,Peaker,Small_Hydro,SolarThermal,Pumped_Storage,Pumping_Generating,SelfGeneration,SelfGenerationNAICSID,CoGeneration,CoGenerationNAICSID,NoReport,Retired_Plant,CEC_Jurisdictional,OwnerID,UtilityID,OperatorCompanyID,PreparerCompanyID,Street,City,County,State,Zip,Capacity_Latest,Units,PriEnergySource,LastReportedYear,Lon_WGS84,Lat_WGS84,Annual_Hyperlink,Monthly_Hyperlink,Elevation,Elevation_ft
-117.203324183,32.70235954,1,G0986,Backup Generation - Navy Regional Data Automation Center,101694,0,1,0,0,0,0,0,1,622110,1,622110,1,1,0,Navy Public Works,San Diego Gas & Electric,Navy Public Works,Navy Public Works,Naval Base Coronado Bldg 1482 at North Island,San Diego,San Diego,CA,92135,0,,,2013,-117.20333609,32.7023642966569,https://repository.energy.ca.gov/powerplantsgeneration/G0986_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,9.515228,31.2179396799972
-117.197977517,32.7271614810001,2,G1017,Sheraton San Diego East Tower (shutdown August 2014),57592,0,1,0,0,0,0,0,1,721111,1,721111,1,1,0,Alliance Star Energy LLC,Southern California Edison (SCE),Alliance Star Energy LLC,Alliance Star Energy LLC,1380 CG Harbor Island Drive,San Diego,San Diego,CA,92101,0,,,2014,-117.19798943,32.7271662414342,https://repository.energy.ca.gov/powerplantsgeneration/G1017_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,4.616023,15.1444324377177
-117.196757999,32.748691808,3,S0400,USMC Maintenance Officer,MISSING,1,1,0,0,0,0,0,0,0,0,0,0,0,0,United States Marine Corps,San Diego Gas & Electric,United States Marine Corps,United States Marine Corps,3600 BARNETT AVE,San Diego,San Diego,CA,92110,1.53,1,SUN,2021,-117.19676991,32.7486965711269,https://repository.energy.ca.gov/powerplantsgeneration/S0400_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,4.163409,13.6594783672191
-117.207501776,32.731350809,4,S0401,San Diego City Regional Airport Authority,MISSING,1,1,0,0,0,0,0,0,0,0,0,0,0,0,San Diego City of,San Diego Gas & Electric,San Diego City of,San Diego City of,3701 N HARBOR DR A,San Diego,San Diego,CA,92101,1.6,1,SUN,2021,-117.20751369,32.7313555689526,https://repository.energy.ca.gov/powerplantsgeneration/S0401_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,4.297532,14.0995144571268
-117.24580492,32.6774481,5,E0171,Point Loma Wastewater Treatment Plant - Gas Utilization Facility,50492,1,1,0,0,0,0,0,1,562210,1,562210,0,0,0,City of San Diego,San Diego Gas & Electric,City of San Diego,City of San Diego,1902 Gatchell Road,San Diego,San Diego,CA,92101,5,"1, 2",OBG,2021,-117.24581683,32.677452851938,https://repository.energy.ca.gov/powerplantsgeneration/E0171_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,38.97561,127.872736414839
-117.208223478,32.735367583,6,G0385,Naval Training Center - Retired 12/31/2003,6707,0,0,0,0,0,0,0,0,0,1,928100,1,1,0,Cabrillo Power II LLC (NRG West Coast Inc),San Diego Gas & Electric,NRG Energy,NRG Energy,566 Neville Road,San Diego,San Diego,CA,92133,0,,,2003,-117.20823539,32.73537234381,https://repository.energy.ca.gov/powerplantsgeneration/G0385_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0385_monthly.png,3.300504,10.8284252133096
-117.208367103,32.741587677,7,G0386,NTC MCRD Energy Facility - Retired 9/28/2018,10810,0,0,0,0,0,0,0,0,0,1,928100,1,1,0,Applied Energy LLC,San Diego Gas & Electric,Applied Energy LLC,Applied Energy LLC,3231 Barnett Avenue,San Diego,San Diego,CA,92101,0,,,2018,-117.20837901,32.7415924384201,https://repository.energy.ca.gov/powerplantsgeneration/G0386_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0386_monthly.png,3.853165,12.6416174732835
-117.201626391,32.73018854,8,S0720,San Diego Airport Solar,MISSING,0,1,0,0,0,0,0,0,0,0,0,0,0,0,San Diego County Regional Airport Authority,San Diego Gas & Electric,San Diego County Regional Airport Authority,San Diego County Regional Airport Authority,3701 North Harbor Drive,San Diego,San Diego,CA,,5.5,Unit 1,SUN,2021,-117.2016383,32.7301933,,,4.89267,16.052066953533
-117.058633776,32.5914427390001,9,G0924,Chula Vista Energy Center LLC,55540,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Escondido Energy Center LLC,San Diego Gas & Electric,Escondido Energy Center LLC,Wellhead Services Inc,3497 Main Street,San Diego,San Diego,CA,91911,44,1,NG,2021,-117.05864565,32.5914474904005,https://repository.energy.ca.gov/powerplantsgeneration/G0924_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0924_monthly.png,16.8076,55.14304470324
-117.176525335,32.7282692790001,10,G0991,Solar Turbines Inc. - Harbor Drive Plant (Testing Only),50070,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Solar Turbines Incorporated,San Diego Gas & Electric,Solar Turbines Incorporated,Solar Turbines Incorporated,2200 Pacific Highway,San Diego,San Diego,CA,92101,9.9,1,NG,2021,-117.17653724,32.7282740408052,https://repository.energy.ca.gov/powerplantsgeneration/G0991_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,3.862062,12.6708071058738
