"CompanyName","CECPlantID","PlantName","City","County","State"
"Pacific Gas & Electric (PG&E)","B0001","Vaca Dixon Battery Storage","Vacaville","Solano","CA"
"Ormat","B0007","AltaGas Pomona Energy Storage","Pamona","San Bernardino","CA"
"San Diego Gas & Electric","B0008","Escondido Energy Storage","Vineyard","San Diego","CA"
"Imperial Irrigation District","B0011","El Centro Generating Station BESS","El Centro","Imperial","CA"
"San Diego Gas & Electric","B0013","Eastern BESS 1","El Cajon","San Diego","CA"
"City of Glendale","B0017","Glendale Battery Energy Storage (G2BESS)","Glendale","Los Angeles","CA"
"ACE Cogeneration Co","C0001","ACE Cogeneration (ACE is Argus Cogen Expansion - Retired)","Trona","San Bernardino","CA"
"Tesoro Refining & Marketing Company LLC","C0002","Los Angeles Refinery - Calciner","Long Beach","Los Angeles","CA"
"DTE Stockton LLC","C0004","Port of Stockton District Energy Facility - Retired Jan 2011","Stockton","San Joaquin","CA"
"Jackson Valley Energy Part LP","C0005","Buena Vista Biomass Power (Jackson Valley) Retired Dec 2012","Ione","Amador","CA"
"Hanford LP","C0007","Hanford - Retired October 2011","Hanford","Kings","CA"
"GWF Power Systems LP","C0008","East Third Street Power Plant - Retired April 2012","Pittsburg","Contra Costa","CA"
"GWF Power Systems LP","C0009","Loveridge Road Power Plant - Retired April 2012","Pittsburg","Contra Costa","CA"
"GWF Power Systems LP","C0010","Wilbur East Power Plant - Retired April 2012","Antioch","Contra Costa","CA"
"GWF Power Systems LP","C0011","Wilbur West Power Plant - Retired April 2012","Antioch","Contra Costa","CA"
"GWF Power Systems LP","C0012","Nichols Road Power Plant - Retired April 2012","Bay Point","Contra Costa","CA"
"Mt Poso Cogeneration Co","C0016","Mt. Poso Cogeneration - Retired November 2011","Bakersfield","Kern","CA"
"Searles Valley Minerals","C0017","Argus Cogen Plant","Trona","San Bernardino","CA"
"IHI Power Services Corp","C0018","Rio Bravo Jasmin (Retired 1/20/2016)","Bakersfield","Kern","CA"
"TXI Riverside Cement","C0019","TXI Riverside Cement Power House (Shutdown March 2008)","Oro Grande","San Bernardino","CA"
"Air Products and Chemicals Inc","C0021","Stockton CoGen (Retired 3/31/2012 - Repowered E0002)","Stockton","San Joaquin","CA"
"IHI Power Services Corp","C0022","Rio Bravo Poso (Retired 2/12/2015)","Bakersfield","Kern","CA"
"Los Angeles Department of Water & Power (LADWP)","C0023","Intermountain Power Project (UT)","Delta","Millard","UT"
"Southern California Edison (SCE)","C0024","Mohave Generating Station (Nevada) - Retired December 2005","Laughlin","Clark","NV"
"Big Valley Power LLC","E0003","Big Valley Power LLC_(Retired June 30  2010)","Bieber","Lassen","CA"
"Sierra Pacific Industries Inc","E0004","SPI - Lincoln","Lincoln","Placer","CA"
"Burney Forest Power","E0005","Burney Forest Products","Burney","Shasta","CA"
"Burney Mountain Power","E0006","Burney Mountain Power (Retired 10/31/2010)","Burney","Shasta","CA"
"Global Ampersand LLC","E0007","Merced Power (El Nido)","El Nido","Merced","CA"
"Turlock Irrigation District","E0012","TID Fuel Cell (Retired 2012)","Turlock","Stanislaus","CA"
"Global Ampersand LLC","E0018","Chowchilla II Biomass","Chowchilla","Madera","CA"
"Orange County Sanitation District","E0025","Plant No 2","Huntington Beach","Orange","CA"
"Collins Pine Co","E0026","Collins Pine Co Project","Chester","Plumas","CA"
"Desert View Power (formerly Colmac Energy Inc)","E0027","Desert View Power (Mecca Plant)","Mecca","Riverside","CA"
"Clean Energy Systems","E0029","Covanta Delano  Inc","Delano","Kern","CA"
"Diamond Walnut Growers Inc","E0032","Diamond Walnut - Retired December 2005","Stockton","San Joaquin","CA"
"Community Renewable Energy Services Inc","E0033","Dinuba Energy","Reedley","Tulare","CA"
"East Bay Municipal Utility District (EBMUD)","E0036","EBMUD Wastewater Treatment Plant Power Generation Station","Oakland","Alameda","CA"
"EWP Renewable Corp","E0037","DG Fairhaven Power Plant","Samoa","Humboldt","CA"
"Sierra Pacific Industries Inc","E0038","SPI - Sonora - Restarted 1/1/2012 (Shut Down 9/28/2009)","Sonora","Tuolumne","CA"
"Georgia Pacific Corp","E0039","Fort Bragg Western Wood Products - Retired December 2001","Fort Bragg","Mendocino","CA"
"HL Power Co","E0041","HL Power Company (Honey Lake)","Wendel","Lassen","CA"
"Chateau Energy Inc","E0042","Mesquite Lake Resource Recovery Project - Retired Dec 2008","Imperial","Imperial","CA"
"Dole Packaged Frozen Foods","E0043","J R Wood Incorporated - Retired December 2004","Atwater","Merced","CA"
"Evergreen Pulp Incorporated","E0048","Samoa Pulp Mill (Closed) - Retired December 2008","Samoa","Humboldt","CA"
"Madera Power LLC","E0050","Madera Power (offline 3/28/2012 - repowered 2013)","Firebaugh","Madera","CA"
"Wheelabrator Martell Inc","E0051","Wheelabrator Martell Inc - Retired December 2003","Sutter Creek","Amador","CA"
"Clean Energy Systems","E0052","Covanta Mendota LP","Mendota","Fresno","CA"
"OPAL Fuels","E0054","MM San Diego LLC - Miramar Landfill","San Diego","San Diego","CA"
"MRWPCA","E0055","Monterey Regional Water Pollution Control Cogen","Marina","Monterey","CA"
"Mt Lassen Power","E0056","Mount  Lassen Power (Retired 2011)","Westwood","Lassen","CA"
"Otay Landfill Gas LLC","E0061","Otay 1 & 2 Power Station (Retired 12/13/2019)","Chula Vista","San Diego","CA"
"Humboldt Redwood Company, LLC","E0063","Scotia","Scotia","Humboldt","CA"
"Pacific Oroville Power Inc","E0064","Pacific Oroville Power Inc (Retired 10/20/2012)","Oroville","Butte","CA"
"Ameresco Inc","E0071","Ameresco Vasco Road LLC","Livermore","Alameda","CA"
"Gas Recovery Systems Inc","E0075","San Marcos","San Marcos","San Diego","CA"
"Sierra Pacific Industries Inc","E0078","SPI - Burney","Burney","Shasta","CA"
"Sierra Pacific Industries Inc","E0081","SPI - Quincy","Quincy","Plumas","CA"
"Sierra Pacific Industries Inc","E0082","SPI - Susanville - Shut Down 2004","Susanville","Lassen","CA"
"Sierra Pacific Industries Inc","E0084","SPI - Loyalton - Shut Down 08/20/2010","Loyalton","Sierra","CA"
"Wheelabrator Technologies Inc","E0086","Wheelabrator Shasta","Anderson","Shasta","CA"
"Simpson Paper Co","E0088","Humboldt Pulp Mill - Retired Dec 2003","Eureka","Humboldt","CA"
