,AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,CEC Plant ID,Lng,Lat
0,AS_SP15,GEN,7STDRD_1_SOLAR1,0096WD_7_N001,35009_0096_WD _21.6_GUWD,22M7_DB114,2022-07-28T00:00:00,1,S0330,-119.126866276,35.4504790500001
1,AS_NP26,GEN,7STDRD_1_SOLAR1,0096WD_7_N001,35009_0096_WD _21.6_GUWD,22M7_DB114,2022-07-28T00:00:00,1,S0330,-119.126866276,35.4504790500001
2,AS_SP26,GEN,ACACIA_6_SOLAR,ACACIA_7_N001,29876_ACACIA  _34.5_GU1,22M7_DB114,2022-07-28T00:00:00,5,S0318,-118.327813305,34.693482073
3,AS_SP15,GEN,ACACIA_6_SOLAR,ACACIA_7_N001,29876_ACACIA  _34.5_GU1,22M7_DB114,2022-07-28T00:00:00,5,S0318,-118.327813305,34.693482073
4,AS_NP26,GEN,ADERA_1_SOLAR1,ADERAG1_7_N001,34117_ADERA G1_34.5_GU1,22M7_DB114,2022-07-28T00:00:00,7,S0421,-120.323966958,37.1210424110001
5,AS_NP15,GEN,ADERA_1_SOLAR1,ADERAG1_7_N001,34117_ADERA G1_34.5_GU1,22M7_DB114,2022-07-28T00:00:00,7,S0421,-120.323966958,37.1210424110001
6,AS_NP26,GEN,ADLIN_1_UNITS,GEOENGY_7_B3,31435_GEO.ENGY_13.8_GU1,22M7_DB114,2022-07-28T00:00:00,8,T0023,-122.881086915,38.833908857
7,AS_NP15,GEN,ADLIN_1_UNITS,GEOENGY_7_B3,31435_GEO.ENGY_13.8_GU1,22M7_DB114,2022-07-28T00:00:00,8,T0023,-122.881086915,38.833908857
8,AS_NP15,GEN,ADMEST_6_SOLAR,S632_7_N001,39162_S632    _12.5_GUE,22M7_DB114,2022-07-28T00:00:00,9,S0312,-120.385045904,36.6155305620001
9,AS_NP26,GEN,ADMEST_6_SOLAR,S632_7_N001,39162_S632    _12.5_GUE,22M7_DB114,2022-07-28T00:00:00,9,S0312,-120.385045904,36.6155305620001
10,AS_SP15,GEN,ADOBEE_1_SOLAR,S622B_7_N003,35021_S622B   _34.5_GU1,22M7_DB114,2022-07-28T00:00:00,10,S0308,-118.952082595,35.1058738510001
11,AS_NP26,GEN,ADOBEE_1_SOLAR,S622B_7_N003,35021_S622B   _34.5_GU1,22M7_DB114,2022-07-28T00:00:00,10,S0308,-118.952082595,35.1058738510001
12,AS_NP26,GEN,AGRICO_6_PL3N5,AGRICO_6_PL3N5-APND,,22M7_DB114,2022-07-28T00:00:00,18,G0904,-120.099883466,36.6170139290001
13,AS_NP15,GEN,AGRICO_6_PL3N5,AGRICO_6_PL3N5-APND,,22M7_DB114,2022-07-28T00:00:00,18,G0904,-120.099883466,36.6170139290001
