INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2022-09-01T07:00:00-00:00,2022-09-01T07:15:00-00:00,2022-09-01,01,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,RTPD,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,210.65399,1,1
2022-09-01T08:00:00-00:00,2022-09-01T08:15:00-00:00,2022-09-01,02,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,RTPD,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,118.55067,1,1
2022-09-01T09:00:00-00:00,2022-09-01T09:15:00-00:00,2022-09-01,03,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,RTPD,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,115.50121,1,1
2022-09-01T10:00:00-00:00,2022-09-01T10:15:00-00:00,2022-09-01,04,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,RTPD,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,113.81926,1,1
2022-09-01T11:00:00-00:00,2022-09-01T11:15:00-00:00,2022-09-01,05,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,RTPD,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,113.92293,1,1
2022-09-01T12:00:00-00:00,2022-09-01T12:15:00-00:00,2022-09-01,06,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,RTPD,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,116.39969,1,1
2022-09-01T13:00:00-00:00,2022-09-01T13:15:00-00:00,2022-09-01,07,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,RTPD,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,114.49169,1,1
2022-09-01T14:00:00-00:00,2022-09-01T14:15:00-00:00,2022-09-01,08,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,RTPD,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,194.17679,1,1
2022-09-01T15:00:00-00:00,2022-09-01T15:15:00-00:00,2022-09-01,09,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,RTPD,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,301.6653,1,1
2022-09-01T16:00:00-00:00,2022-09-01T16:15:00-00:00,2022-09-01,10,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,RTPD,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,233.77325,1,1
2022-09-01T17:00:00-00:00,2022-09-01T17:15:00-00:00,2022-09-01,11,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,RTPD,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,242.59685,1,1
2022-09-01T18:00:00-00:00,2022-09-01T18:15:00-00:00,2022-09-01,12,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,RTPD,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,258.6196,1,1
