INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2022-08-16T07:00:00-00:00,2022-08-16T07:15:00-00:00,2022-08-16,01,ASH_6_N001,ASH_6_N001,ASH_6_N001,RTPD,LMP,LMP_PRC,ASH_6_N001,ALL,1,87.85761,1,1
2022-08-16T08:00:00-00:00,2022-08-16T08:15:00-00:00,2022-08-16,02,ASH_6_N001,ASH_6_N001,ASH_6_N001,RTPD,LMP,LMP_PRC,ASH_6_N001,ALL,1,90.85625,1,1
2022-08-16T09:00:00-00:00,2022-08-16T09:15:00-00:00,2022-08-16,03,ASH_6_N001,ASH_6_N001,ASH_6_N001,RTPD,LMP,LMP_PRC,ASH_6_N001,ALL,1,85.05888,1,1
2022-08-16T10:00:00-00:00,2022-08-16T10:15:00-00:00,2022-08-16,04,ASH_6_N001,ASH_6_N001,ASH_6_N001,RTPD,LMP,LMP_PRC,ASH_6_N001,ALL,1,84.87014,1,1
2022-08-16T11:00:00-00:00,2022-08-16T11:15:00-00:00,2022-08-16,05,ASH_6_N001,ASH_6_N001,ASH_6_N001,RTPD,LMP,LMP_PRC,ASH_6_N001,ALL,1,83.0341,1,1
2022-08-16T12:00:00-00:00,2022-08-16T12:15:00-00:00,2022-08-16,06,ASH_6_N001,ASH_6_N001,ASH_6_N001,RTPD,LMP,LMP_PRC,ASH_6_N001,ALL,1,84.65436,1,1
2022-08-16T13:00:00-00:00,2022-08-16T13:15:00-00:00,2022-08-16,07,ASH_6_N001,ASH_6_N001,ASH_6_N001,RTPD,LMP,LMP_PRC,ASH_6_N001,ALL,1,93.085,1,1
2022-08-16T14:00:00-00:00,2022-08-16T14:15:00-00:00,2022-08-16,08,ASH_6_N001,ASH_6_N001,ASH_6_N001,RTPD,LMP,LMP_PRC,ASH_6_N001,ALL,1,92.78139,1,1
2022-08-16T15:00:00-00:00,2022-08-16T15:15:00-00:00,2022-08-16,09,ASH_6_N001,ASH_6_N001,ASH_6_N001,RTPD,LMP,LMP_PRC,ASH_6_N001,ALL,1,73.87755,1,1
2022-08-16T16:00:00-00:00,2022-08-16T16:15:00-00:00,2022-08-16,10,ASH_6_N001,ASH_6_N001,ASH_6_N001,RTPD,LMP,LMP_PRC,ASH_6_N001,ALL,1,70.74574,1,1
