INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2022-08-14T06:00:00-00:00,2022-08-14T06:15:00-00:00,2022-08-13,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,117.95245,1,1
2022-08-14T06:15:00-00:00,2022-08-14T06:30:00-00:00,2022-08-13,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,100.57482,2,1
2022-08-14T06:30:00-00:00,2022-08-14T06:45:00-00:00,2022-08-13,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,85.88255,3,1
2022-08-14T06:45:00-00:00,2022-08-14T07:00:00-00:00,2022-08-13,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,77.2199,4,1
2022-08-14T06:00:00-00:00,2022-08-14T06:15:00-00:00,2022-08-13,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCC,LMP_CONG_PRC,SANYSDRO_6_N001,ALL,1,9.99705,1,2
2022-08-14T06:15:00-00:00,2022-08-14T06:30:00-00:00,2022-08-13,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCC,LMP_CONG_PRC,SANYSDRO_6_N001,ALL,1,8.2217,2,2
2022-08-14T06:30:00-00:00,2022-08-14T06:45:00-00:00,2022-08-13,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCC,LMP_CONG_PRC,SANYSDRO_6_N001,ALL,1,1.79227,3,2
2022-08-14T06:45:00-00:00,2022-08-14T07:00:00-00:00,2022-08-13,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCC,LMP_CONG_PRC,SANYSDRO_6_N001,ALL,1,3.24833,4,2
2022-08-14T06:00:00-00:00,2022-08-14T06:15:00-00:00,2022-08-13,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCE,LMP_ENE_PRC,SANYSDRO_6_N001,ALL,1,94.47397,1,3
2022-08-14T06:15:00-00:00,2022-08-14T06:30:00-00:00,2022-08-13,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCE,LMP_ENE_PRC,SANYSDRO_6_N001,ALL,1,81.03284,2,3
2022-08-14T06:30:00-00:00,2022-08-14T06:45:00-00:00,2022-08-13,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCE,LMP_ENE_PRC,SANYSDRO_6_N001,ALL,1,73.84761,3,3
2022-08-14T06:45:00-00:00,2022-08-14T07:00:00-00:00,2022-08-13,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCE,LMP_ENE_PRC,SANYSDRO_6_N001,ALL,1,65.294,4,3
2022-08-14T06:00:00-00:00,2022-08-14T06:15:00-00:00,2022-08-13,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCL,LMP_LOSS_PRC,SANYSDRO_6_N001,ALL,1,13.48144,1,4
2022-08-14T06:15:00-00:00,2022-08-14T06:30:00-00:00,2022-08-13,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCL,LMP_LOSS_PRC,SANYSDRO_6_N001,ALL,1,11.32029,2,4
2022-08-14T06:30:00-00:00,2022-08-14T06:45:00-00:00,2022-08-13,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCL,LMP_LOSS_PRC,SANYSDRO_6_N001,ALL,1,10.24266,3,4
2022-08-14T06:45:00-00:00,2022-08-14T07:00:00-00:00,2022-08-13,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCL,LMP_LOSS_PRC,SANYSDRO_6_N001,ALL,1,8.67757,4,4
2022-08-14T06:00:00-00:00,2022-08-14T06:15:00-00:00,2022-08-13,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MGHG,LMP_GHG_PRC,SANYSDRO_6_N001,ALL,1,0,1,5
2022-08-14T06:15:00-00:00,2022-08-14T06:30:00-00:00,2022-08-13,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MGHG,LMP_GHG_PRC,SANYSDRO_6_N001,ALL,1,0,2,5
2022-08-14T06:30:00-00:00,2022-08-14T06:45:00-00:00,2022-08-13,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MGHG,LMP_GHG_PRC,SANYSDRO_6_N001,ALL,1,0,3,5
2022-08-14T06:45:00-00:00,2022-08-14T07:00:00-00:00,2022-08-13,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MGHG,LMP_GHG_PRC,SANYSDRO_6_N001,ALL,1,0,4,5
2022-08-14T07:00:00-00:00,2022-08-14T07:15:00-00:00,2022-08-14,01,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,99.9064,1,6
2022-08-14T08:00:00-00:00,2022-08-14T08:15:00-00:00,2022-08-14,02,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,77.59936,1,6
2022-08-14T09:00:00-00:00,2022-08-14T09:15:00-00:00,2022-08-14,03,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,74.93224,1,6
2022-08-14T10:00:00-00:00,2022-08-14T10:15:00-00:00,2022-08-14,04,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,76.13313,1,6
2022-08-14T11:00:00-00:00,2022-08-14T11:15:00-00:00,2022-08-14,05,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,77.44926,1,6
2022-08-14T12:00:00-00:00,2022-08-14T12:15:00-00:00,2022-08-14,06,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,76.16711,1,6
2022-08-14T13:00:00-00:00,2022-08-14T13:15:00-00:00,2022-08-14,07,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,81.02519,1,6
2022-08-14T14:00:00-00:00,2022-08-14T14:15:00-00:00,2022-08-14,08,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,73.68615,1,6
2022-08-14T15:00:00-00:00,2022-08-14T15:15:00-00:00,2022-08-14,09,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,71.73486,1,6
2022-08-14T16:00:00-00:00,2022-08-14T16:15:00-00:00,2022-08-14,10,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,64.06168,1,6
2022-08-14T17:00:00-00:00,2022-08-14T17:15:00-00:00,2022-08-14,11,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,65.44587,1,6
2022-08-14T18:00:00-00:00,2022-08-14T18:15:00-00:00,2022-08-14,12,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,72.9497,1,6
2022-08-14T19:00:00-00:00,2022-08-14T19:15:00-00:00,2022-08-14,13,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,79.35397,1,6
2022-08-14T20:00:00-00:00,2022-08-14T20:15:00-00:00,2022-08-14,14,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,77.18884,1,6
2022-08-14T21:00:00-00:00,2022-08-14T21:15:00-00:00,2022-08-14,15,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,96.19352,1,6
