TAC_AREA_ID,PNODE_ID,DESCRIPTION,COMMENTS,EFF_START_DT,EFF_END_DT,EFF_START_DT_GMT,EFF_END_DT_GMT
TAC_NORTH,OAKLND12_7_N101,TAC_NORTH,,2021-01-01T00:00:00,2030-12-31T23:59:59,2021-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,PIT6U2_7_B1,TAC_NORTH,,2022-05-26T00:00:00,2030-12-31T23:59:59,2022-05-26T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,CAPTJACK_5_N015,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,Q481_7_GN001,TAC_NORTH,,2017-11-01T00:00:00,2030-12-31T23:59:59,2017-11-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_BANC,ELK_GNODEESC,TAC_BANC,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_PSEI,SHB_GNODETTL,TAC_PSEI,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_PAC,WESTVALL_NODE4,TAC_PAC,,2022-07-01T00:00:00,2030-12-31T23:59:59,2022-07-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_ECNTR,MARKETPL_5_N501,TAC_ECNTR,,2022-06-06T00:00:00,2030-12-31T23:59:59,2022-06-06T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_ECNTR,TOT032G3_7_N001,TAC_ECNTR,,2022-03-25T00:00:00,2030-12-31T23:59:59,2022-03-25T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,GWFGT2_7_B1,TAC_NORTH,,2022-07-05T00:00:00,2030-12-31T23:59:59,2022-07-05T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,SUNST_2_N006,TAC_NORTH,,2022-08-04T00:00:00,2030-12-31T23:59:59,2022-08-04T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_PAC,HUNTINGT_NODE1,TAC_PAC,,2022-06-08T00:00:00,2030-12-31T23:59:59,2022-06-08T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,HIGHWAY_1_N003,TAC_NORTH,,2017-11-01T00:00:00,2030-12-31T23:59:59,2017-11-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_ECNTR,CANYONP2_7_GN001,TAC_ECNTR,,2022-06-01T00:00:00,2030-12-31T23:59:59,2022-06-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,TBLEMTN_6_N005,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,PAULSWT_1_N013,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,CLOVER_6_N001,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_ECNTR,CHINO_6_N033,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,FLOWND1_1_N01,TAC_NORTH,,2017-11-01T00:00:00,2030-12-31T23:59:59,2017-11-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,AVENAL_6_GN002,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NWMT,JUDGAP_S_7_INVGGNODE,TAC_NWMT,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,SALNRGN_7_B1,TAC_NORTH,,2022-08-15T00:00:00,2030-12-31T23:59:59,2022-08-15T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_AVA,DIMND_LK_1_XF1LNODE,TAC_AVA,,2022-03-02T00:00:00,2030-12-31T23:59:59,2022-03-02T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,GRNLEAF1_7_N001,TAC_NORTH,,2019-03-11T00:00:00,2030-12-31T23:59:59,2019-03-11T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_AVA,KAISER_7_XF3AFD4LNODE,TAC_AVA,,2022-03-02T00:00:00,2030-12-31T23:59:59,2022-03-02T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_AVA,LIN_SOLR_1_SOLARGNODE,TAC_AVA,,2022-03-02T00:00:00,2030-12-31T23:59:59,2022-03-02T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,CHWCHLA2_7_N001,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,FORBSTWN_7_B1,TAC_NORTH,,2022-05-18T00:00:00,2030-12-31T23:59:59,2022-05-18T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,S654_7_N001,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_ECNTR,LBEACH3G_7_N001,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,MIDWAY_1_N047,TAC_NORTH,,2017-11-01T00:00:00,2030-12-31T23:59:59,2017-11-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_IPCO,STWP_GNODETWP,TAC_IPCO,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,VOLTA2_7_N010,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,PIT5_7_N001,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,DINUBAE_7_B2,TAC_NORTH,,2020-01-01T00:00:00,2030-12-31T23:59:59,2020-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_SOUTH,C493GEN_7_N003,TAC_SOUTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_PAC,WESTVALL_NODE3,TAC_PAC,,2022-07-01T00:00:00,2030-12-31T23:59:59,2022-07-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,CAPTJACK_5_N510,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,CATALYST_7_N002,TAC_NORTH,,2017-11-01T00:00:00,2030-12-31T23:59:59,2017-11-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,DIABLO2_7_B1,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_ECNTR,LBEACH2G_7_N001,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_ECNTR,VERNON_6_N006,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,BRNYFRST_7_B1,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,LAPLMG2_7_B2,TAC_NORTH,,2022-08-17T00:00:00,2030-12-31T23:59:59,2022-08-17T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,OAKLND3_7_N001,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_ECNTR,SAUGUS_6_N008,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_ECNTR,MIRALOMA_6_GN001,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,PTS7SWNG_7_B2,TAC_NORTH,,2017-11-01T00:00:00,2030-12-31T23:59:59,2017-11-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_AVA,LONGLAKE_1_2GNODE,TAC_AVA,,2022-04-18T00:00:00,2030-12-31T23:59:59,2022-04-18T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,WDWRGEN_7_N002,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_ECNTR,MOORPARK_6_N005,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_ECNTR,OMAR2G_7_B1,TAC_ECNTR,,2022-06-01T00:00:00,2030-12-31T23:59:59,2022-06-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,TEMPLE21_7_N002,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_ECNTR,DELAMO_2_N050,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_NORTH,HIGGINS_1_GN001,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
TAC_ECNTR,MIRALOMA_6_N010,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
